Galaxy Number,X coord,Y coord,X radius,Y radius,Pixel Count 
244,1882,3260,12,8,64786.0 
245,1733,854,19,10,149103.0 
246,1177,1010,8,8,44848.0 
247,1110,2585,10,11,84592.0 
248,2198,3548,15,7,82359.0 
249,908,3224,10,8,44565.0 
250,1034,927,9,9,63726.0 
251,1872,1290,8,7,38219.0 
252,2469,464,1,29,8875.0 
253,2467,1682,2,11,16742.0 
254,2468,481,1,11,2385.0 
255,871,2402,7,6,25603.0 
256,613,2777,12,13,123894.0 
257,614,2777,12,13,2274.0 
258,997,2746,9,58,56076.0 
259,1573,4444,6,6,22546.0 
260,1280,4337,7,5,20684.0 
261,2281,2641,13,8,70179.0 
262,338,3855,10,9,57497.0 
263,1195,120,8,8,33893.0 
264,576,928,6,6,25544.0 
265,442,2519,9,10,58096.0 
266,607,3305,10,9,65032.0 
267,2466,463,3,29,35188.0 
268,1822,610,7,6,26941.0 
269,1992,980,8,8,43105.0 
270,1335,834,9,13,75686.0 
271,1278,506,29,11,55278.0 
272,1101,3876,7,7,24421.0 
273,190,350,10,8,42611.0 
274,2113,471,10,10,80818.0 
275,1956,1011,9,8,51081.0 
276,1474,4484,9,10,47824.0 
277,2278,3135,6,6,19857.0 
278,2139,4072,7,12,30363.0 
279,457,3886,10,12,76300.0 
280,548,1907,7,7,26345.0 
281,372,2971,9,9,48615.0 
282,1299,1463,6,6,21563.0 
283,2468,1680,1,13,3319.0 
284,2467,482,2,11,7495.0 
285,2113,3146,13,7,55913.0 
286,181,4241,11,9,55740.0 
287,2170,2210,10,7,49455.0 
288,1305,492,14,17,55926.0 
289,1041,1635,7,6,21675.0 
290,886,382,10,8,50377.0 
291,1024,112,14,20,65523.0 
292,243,1251,7,6,23662.0 
293,1633,244,7,7,27240.0 
294,2070,3693,10,9,47791.0 
295,2321,4043,7,8,36589.0 
296,1262,2661,8,8,34627.0 
297,2148,4382,5,5,14944.0 
298,1707,508,7,6,23707.0 
299,2307,3097,7,7,28455.0 
300,212,1460,15,10,89521.0 
301,1353,793,9,9,47321.0 
302,1840,3954,8,9,44014.0 
303,574,3477,6,5,16557.0 
304,1876,4009,7,7,25137.0 
305,1798,477,6,6,21211.0 
306,296,1452,7,7,25791.0 
307,2095,4510,6,1,1288.0 
308,189,765,11,10,62464.0 
309,790,2674,12,9,61685.0 
310,399,3088,8,7,29640.0 
311,599,1965,8,7,30641.0 
312,600,1965,7,7,692.0 
313,496,1552,9,8,41521.0 
314,1872,711,7,10,37829.0 
315,2015,110,9,8,52192.0 
316,2467,1684,2,9,7310.0 
317,690,2929,8,8,33994.0 
318,995,100,35,13,22785.0 
319,844,1224,7,7,29515.0 
320,1106,4192,8,6,30533.0 
321,505,1490,10,10,42489.0 
322,1794,3129,9,7,24017.0 
323,1918,1899,8,7,26316.0 
324,1834,1960,6,6,12923.0 
325,440,694,10,14,81307.0 
326,2415,2001,7,6,16782.0 
327,1606,4299,8,8,31356.0 
328,902,2853,11,21,33967.0 
