Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
314,2199,2109,8,7,3940.0,3417.59251412,1416,27917,14.1853281336 
315,2231,2068,10,9,3938.0,3419.89079422,2216,51838,13.5133794066 
316,966,1023,10,13,3933.0,3424.99758842,3732,58782,13.3768891039 
317,1782,2546,11,9,3933.0,3428.60479042,2672,31333,14.0599950532 
318,2279,4007,6,6,3933.0,3420.12307692,780,16033,14.7874630186 
319,2143,4258,9,8,3928.0,3412.99152542,1770,31648,14.0491343252 
320,267,3485,6,7,3924.0,3423.24538745,1084,20283,14.5321695234 
321,2156,3048,6,6,3921.0,3430.48308525,739,13253,14.9942145051 
322,2411,499,5,5,3920.0,3415.98758865,564,12632,15.0463197075 
323,2455,1609,10,9,3919.0,3433.54420207,1742,29191,14.1368775677 
324,1148,4001,9,7,3918.0,3423.93651685,1780,32726,14.0127676849 
325,2220,3736,9,6,3917.0,3422.9758427,1780,21006,14.4941415971 
326,924,689,9,10,3916.0,3425.31859206,2216,37866,13.8543764236 
327,2012,3312,8,6,3915.0,3427.62923729,1416,22453,14.4218140591 
328,1446,532,1,10,3914.0,3422.30530669,1451,2004,17.045255707 
329,359,4109,6,5,3914.0,3425.23333333,780,12363,15.0696903269 
330,2440,2957,6,6,3911.0,3424.59230769,780,14462,14.899429107 
331,1660,4392,11,8,3911.0,3417.34730539,2672,41959,13.742937177 
332,1407,2258,6,5,3910.0,3421.62051282,780,15123,14.8509051196 
333,1340,3536,8,6,3908.0,3447.61158192,1416,14620,14.8876315684 
334,2191,2878,10,7,3907.0,3420.1398917,2216,25401,14.2878729638 
335,2201,3471,11,8,3904.0,3418.66841317,2672,41754,13.7482547828 
336,2000,1326,7,6,3899.0,3420.26845018,1084,22514,14.4188683456 
337,1770,3154,6,6,3899.0,3444.50384615,780,10333,15.2644339265 
338,1850,1550,7,8,3898.0,3418.47175141,1416,26496,14.2420492122 
339,1950,2401,5,4,3896.0,3427.50177305,564,11039,15.1926756666 
340,1525,3561,6,6,3896.0,3442.77051282,780,12126,15.0907060903 
341,2216,4193,7,7,3890.0,3414.72785978,1084,17569,14.6881323929 
342,1322,2395,5,5,3887.0,3427.83865248,564,10384,15.2590883014 
343,1891,1397,8,7,3884.0,3417.29166667,1416,29705,14.1179261082 
344,636,3579,8,7,3882.0,3433.4039548,1416,22639,14.4128569013 
345,263,1897,5,6,3878.0,3422.07435897,780,12877,15.0254632608 
346,1377,2551,8,5,3877.0,3427.88912429,1416,22373,14.4256894434 
