Galaxy Number,X coord,Y coord,X radius,Y radius,Max Pixel,Local Background,Pixel Count,Photon Count,Magnitude 
166,245,3132,7,7,4501,3421.73155,1084,30378,14.09360206
167,717,1104,11,13,4498,3421.835477,3732,96070,12.84353052
168,2125,4284,8,7,4498,3420.482345,1416,39172,13.81756064
169,975,2907,7,7,4497,3437.491697,1084,28485,14.16345944
170,828,2670,12,11,4485,3438.872785,3160,56664,13.41673193
171,908,3395,25,10,4480,3438.998405,12542,130635,12.50985113
172,404,1250,7,7,4465,3420.928044,1084,29235,14.13524225
173,688,3349,13,10,4465,3436.532486,3463,84683,12.98050941
174,1882,3260,13,9,4461,3430.746177,3727,70000,13.1872549
175,1733,854,21,11,4459,3410.933711,9700,176515,12.18304596
176,1177,1010,9,8,4448,3430.98764,1780,48012,13.59662551
177,1110,2585,11,11,4441,3431.069237,2672,90735,12.90556289
178,908,3224,12,9,4439,3435.110127,3160,51896,13.51216529
179,1034,927,11,10,4438,3424.887725,2672,70449,13.18031292
180,1872,1290,8,8,4433,3415.83404,1416,40331,13.78590252
181,2467,1682,2,11,4416,3437.751561,1441,67243,13.2308823
182,871,2402,8,6,4408,3424.530367,1416,28642,14.15749165
183,613,2777,13,14,4402,3428.533133,4316,132904,12.49115487
184,1573,4444,6,6,4401,3422.442308,780,23051,14.39327557
185,1280,4337,7,6,4392,3424.373616,1084,23515,14.37163754
186,2281,2641,14,9,4374,3417.569972,4316,83832,12.99147543
187,338,3855,12,9,4371,3422.550316,3160,62535,13.30969211
188,1195,120,7,7,4362,3425.299816,1084,32421,14.02293398
189,576,928,6,6,4358,3430.769231,780,26568,14.23910284
190,442,2519,9,10,4354,3425.779332,2216,62657,13.30757601
191,607,3305,11,10,4352,3438.974177,2672,73178,13.13904866
192,1822,610,6,6,4341,3416.797436,780,26552,14.2397569
193,1992,980,8,8,4336,3411.40113,1416,44391,13.68176268
194,1335,834,9,15,4335,3426.940226,4952,90145,12.91264589
195,1101,3876,8,7,4323,3435.613701,1416,28755,14.15321657
196,190,350,11,9,4320,3436.890344,2672,47646,13.60493388
197,2113,471,10,12,4319,3417.000633,3160,88988,12.92667138
198,1956,1011,8,8,4319,3412.835452,1416,50656,13.53842277
199,1474,4484,10,13,4315,3436.690985,3372,56816,13.41382336
200,2278,3135,6,6,4313,3421.966667,780,20415,14.52512654
201,2139,4072,7,12,4309,3414.462658,3160,34111,13.96776387
202,457,3886,12,12,4305,3423.866456,3160,80986,13.02897513
203,548,1907,7,7,4304,3420.934502,1084,27089,14.21801757
204,372,2971,9,10,4293,3423.150722,2216,53110,13.48705925
205,1299,1463,6,6,4272,3421.762821,780,22144,14.43685982
206,2113,3146,14,8,4256,3422.089666,4316,70207,13.18404896
207,181,4241,10,9,4255,3425.851083,2216,56823,13.4136896
208,2170,2210,10,7,4247,3417.032942,2216,53967,13.46967931
209,1041,1635,7,6,4243,3420.97417,1084,22959,14.39761758
210,886,382,10,9,4240,3426.252256,2216,54177,13.46546262
211,243,1251,7,7,4236,3420.74631,1084,25010,14.30471577
212,1633,244,7,6,4233,3415.415129,1084,27913,14.18548371
213,2070,3693,11,9,4227,3425.193862,2672,52084,13.50823917
214,2321,4043,7,8,4221,3415.681497,1416,38453,13.83767443
215,1262,2661,9,8,4217,3430.299438,1780,37386,13.8682275
216,2148,4382,5,4,4217,3418.93617,564,15502,14.82403067
217,1707,508,7,6,4204,3414.241697,1084,25097,14.30094547
218,2307,3097,8,8,4198,3421.793079,1416,31650,14.04906571
219,1239,2946,13,12,4193,3445.940278,3667,60356,13.34819888
220,212,1460,16,13,4190,3427.784727,5644,104939,12.7476577
221,1353,793,9,9,4189,3428.845506,1780,48112,13.59436647
222,1840,3954,9,10,4185,3434.958032,2216,50408,13.54375133
223,574,3477,5,5,4178,3435.363475,564,16495,14.7566192
224,1876,4009,7,7,4178,3421.358856,1084,25672,14.27635074
225,296,1452,8,6,4174,3420.863701,1416,28681,14.15601428
226,189,765,10,10,4169,3429.131318,2216,62783,13.30539484
227,790,2674,12,10,4163,3435.493451,3054,65823,13.25405582
228,399,3088,8,8,4160,3422.204802,1416,31663,14.04861985
229,599,1965,9,7,4157,3419.483146,1780,33966,13.97238899
230,496,1552,10,9,4154,3435.949458,2216,51588,13.51862827
231,1872,711,7,10,4149,3407.828069,2216,41507,13.75469664
232,2015,110,9,7,4142,3421.529183,1285,59100,13.3710313
233,690,2929,8,9,4139,3427.409551,1780,37237,13.87256329
234,844,1224,8,9,4135,3424.619663,1780,37502,13.86486393
235,1106,4192,8,6,4135,3422.697034,1416,34761,13.94726935
236,505,1490,9,10,4134,3428.359657,2216,42690,13.72418461
237,1794,3129,9,7,4134,3438.388202,1780,25175,14.2975763
238,1918,1899,8,7,4125,3421.386299,1416,28497,14.16300214
239,1834,1960,6,14,4122,3414.979379,4316,37147,13.87519064
240,440,694,11,15,4121,3427.378433,4952,93893,12.86841696
241,2415,2001,7,6,4112,3426.112546,1084,18232,14.64791422
242,1606,4299,8,9,4111,3421.057865,1780,34866,13.94399469
243,902,2853,18,1,4108,3435.123205,5779,37380,13.86840176
244,2020,3427,6,6,4106,3428.974359,780,15746,14.80707438
245,1322,693,9,10,4103,3432.646661,2216,36281,13.90080188
246,448,1007,10,9,4103,3421.249097,2216,44867,13.67018242
247,1331,3729,6,6,4090,3435.285897,780,15412,14.8303525
248,979,4478,6,5,4090,3419.137179,780,15746,14.80707438
249,1112,1849,7,9,4085,3420.096629,1780,34513,13.95504322
250,2167,1934,9,7,4079,3424.46236,1780,39789,13.80059244
251,2201,1490,6,5,4071,3426.371795,780,15804,14.80308245
252,2363,3752,8,7,4069,3430.876412,1416,27870,14.18715758
253,518,2653,10,11,4065,3423.938623,2672,56941,13.41143728
254,783,2873,8,7,4065,3429.093927,1416,26022,14.26164832
255,1956,2093,7,7,4063,3421.357934,1084,26014,14.26198216
256,2223,2717,8,8,4063,3424.346045,1416,31081,14.06876254
257,125,992,6,6,4059,3425.262821,780,20462,14.5226298
258,1483,794,6,5,4058,3428.175641,780,16826,14.73504779
259,932,1144,9,8,4054,3426.979213,1780,35477,13.92513278
260,594,1613,7,6,4052,3422.555351,1084,24638,14.32098637
261,1196,2267,11,7,4047,3426.236901,2672,46229,13.63771375
262,1451,1123,7,6,4044,3424.006935,721,19035,14.6011178
263,1918,3965,11,9,4041,3423.211826,2672,54408,13.4608431
264,743,1179,10,10,4039,3426.28204,2216,48718,13.58077637
265,920,4279,6,4,4039,3420.673077,780,14066,14.92957347
266,124,2616,8,6,4038,3420.782072,1216,20644,14.51301537
267,363,2221,8,8,4035,3425.562147,1416,34237,13.96376074
268,473,2984,8,7,4035,3423.098164,1416,26496,14.24204921
269,2294,4489,4,5,4029,3421.079787,564,12355,15.07039313
270,1170,2360,6,6,4027,3424.801282,780,18955,14.60569053
271,1575,564,8,8,4024,3427.016949,1416,43645,13.70016376
272,723,2226,11,9,4023,3426.967832,2518,57872,13.39382877
273,477,4318,10,8,4019,3422.804152,2216,42112,13.73898533
274,2129,2181,11,8,4018,3415.10741,2672,48577,13.58392327
275,889,3281,8,7,4018,3434.517655,1416,20279,14.53238366
276,2245,203,7,6,4014,3415.837638,1084,24388,14.33205953
277,1951,2757,11,16,4012,3437.807406,5644,41323,13.75952039
278,1030,374,8,8,4011,3429.108757,1416,29178,14.1373612
279,1559,1777,9,8,4009,3420.252809,1780,44399,13.68156703
